report_component_id,component_type,section_id,catalogue_item_id,source_artifact_id,source_field_path,source_sha256,controlled_conclusion_code
RPT-T05.row.5,table_row,SEC-SETUP,ART-STORAGE-REPO-7DA9674CD510,ART-STORAGE-REPO-7DA9674CD510,$,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,
RPT-T05.row.6,table_row,SEC-SETUP,ART-STORAGE-REPO-7DA9674CD510,ART-STORAGE-REPO-7DA9674CD510,$,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,
RPT-T05.row.7,table_row,SEC-SETUP,ART-STORAGE-REPO-7DA9674CD510,ART-STORAGE-REPO-7DA9674CD510,$,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,
RPT-T05.row.8,table_row,SEC-SETUP,ART-STORAGE-REPO-7DA9674CD510,ART-STORAGE-REPO-7DA9674CD510,$,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,
RPT-T05.row.9,table_row,SEC-SETUP,ART-STORAGE-REPO-B62808659805,ART-STORAGE-REPO-B62808659805,$,792f544aef33d30f122054ba40bdf8f185cea71e516614545ba3f85879ed3bc3,
RPT-T05.row.10,table_row,SEC-SETUP,ART-STORAGE-REPO-BE8FD7EBD0FA,ART-STORAGE-REPO-BE8FD7EBD0FA,$,60e84612eec0ce60b0d17284f6888ddea3627778ab39bcee4c0c6ee3b0c63a2c,
RPT-T05.row.11,table_row,SEC-SETUP,ART-STORAGE-REPO-D21BA4A045E8,ART-STORAGE-REPO-D21BA4A045E8,$,1569b09c83d6a785601c181d615ac656b71623d054e45705bc0a35b17ba2dc7f,
RPT-T07.row.0,table_row,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-BLACKBOX,ART-P9-TASK,models.blackbox.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T07.row.1,table_row,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-LEARNED_SOFTMAX_GAM,ART-P9-TASK,models.learned_softmax_gam.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T07.row.2,table_row,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-MIXED_CEM,ART-P9-TASK,models.mixed_cem.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T07.row.3,table_row,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-STANDARD_CBM,ART-P9-TASK,models.standard_cbm.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T08.row.0,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,SUPPORTS_B
RPT-T08.row.1,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,SUPPORTS_B
RPT-T08.row.2,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-STANDARD_CBM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__standard_cbm,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO
RPT-T08.row.3,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.mixed_cem__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO
RPT-T08.row.4,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.standard_cbm__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,SUPPORTS_B
RPT-T08.row.5,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.standard_cbm__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,SUPPORTS_B
RPT-T09.row.0,table_row,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-BLACKBOX,ART-P9-TASK,models.blackbox.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T09.row.1,table_row,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-LEARNED_SOFTMAX_GAM,ART-P9-TASK,models.learned_softmax_gam.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T09.row.2,table_row,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-MIXED_CEM,ART-P9-TASK,models.mixed_cem.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T09.row.3,table_row,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-STANDARD_CBM,ART-P9-TASK,models.standard_cbm.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-T10.row.0,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.blackbox__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO
RPT-T10.row.1,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.blackbox__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO
RPT-T10.row.2,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-STANDARD_CBM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.blackbox__standard_cbm,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,SUPPORTS_A
RPT-T10.row.3,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.mixed_cem__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO
RPT-T10.row.4,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.standard_cbm__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,SUPPORTS_B
RPT-T10.row.5,table_row,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-STANDARD_CBM-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.standard_cbm__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-BLACKBOX,ART-P9-OOF-BLACKBOX,$,6f7e8b840638cfcce3427a1a1e63155860f1067ac6d09f10e7c43aa74a2763e8,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-STANDARD_CBM,ART-P9-OOF-STANDARD_CBM,$,c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-MIXED_CEM,ART-P9-OOF-MIXED_CEM,$,a42350e63908b2fa8fdfdd5c952428efe60f1ae5d6dbeccfe531f0ce121b996f,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-LEARNED_SOFTMAX_GAM,ART-P9-OOF-LEARNED_SOFTMAX_GAM,$,a5066e990153903212727c93ddea19f20760dffe7fa33a57aebab2d4d0ec3ffa,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-BLACKBOX,ART-P9-TASK,models.blackbox.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-STANDARD_CBM,ART-P9-TASK,models.standard_cbm.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-MIXED_CEM,ART-P9-TASK,models.mixed_cem.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-LEARNED_SOFTMAX_GAM,ART-P9-TASK,models.learned_softmax_gam.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P10-FIGURE-RPT-F04,ART-P10-REPORT-PLAN,RPT-F04,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,
RPT-F04,figure,SEC-RESULTS-PREDICTION,RES-P10-REPORT-EVIDENCE-03,ART-P10-REPORT-PLAN,SEC-RESULTS-PREDICTION,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-STANDARD_CBM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__standard_cbm,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.mixed_cem__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.standard_cbm__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.standard_cbm__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P10-FIGURE-RPT-F05,ART-P10-REPORT-PLAN,RPT-F05,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,
RPT-F05,figure,SEC-RESULTS-PREDICTION,RES-P10-REPORT-EVIDENCE-03,ART-P10-REPORT-PLAN,SEC-RESULTS-PREDICTION,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-BLACKBOX,ART-P9-OOF-BLACKBOX,$,6f7e8b840638cfcce3427a1a1e63155860f1067ac6d09f10e7c43aa74a2763e8,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-STANDARD_CBM,ART-P9-OOF-STANDARD_CBM,$,c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-MIXED_CEM,ART-P9-OOF-MIXED_CEM,$,a42350e63908b2fa8fdfdd5c952428efe60f1ae5d6dbeccfe531f0ce121b996f,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-OOF-LEARNED_SOFTMAX_GAM,ART-P9-OOF-LEARNED_SOFTMAX_GAM,$,a5066e990153903212727c93ddea19f20760dffe7fa33a57aebab2d4d0ec3ffa,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-BLACKBOX,ART-P9-TASK,models.blackbox.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-STANDARD_CBM,ART-P9-TASK,models.standard_cbm.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-MIXED_CEM,ART-P9-TASK,models.mixed_cem.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-LEARNED_SOFTMAX_GAM,ART-P9-TASK,models.learned_softmax_gam.pooled_secondary,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.blackbox__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.blackbox__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-STANDARD_CBM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.blackbox__standard_cbm,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.mixed_cem__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.standard_cbm__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-STANDARD_CBM-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_auroc_B_minus_A.standard_cbm__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P10-FIGURE-RPT-F06,ART-P10-REPORT-PLAN,RPT-F06,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,
RPT-F06,figure,SEC-RESULTS-PREDICTION,RES-P10-REPORT-EVIDENCE-03,ART-P10-REPORT-PLAN,SEC-RESULTS-PREDICTION,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,
RPT-T13.row.0,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-BLACKBOX-FOLD0-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[0].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.1,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-BLACKBOX-FOLD1-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[1].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.2,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-BLACKBOX-FOLD2-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[2].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.3,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-BLACKBOX-FOLD3-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[3].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.4,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-BLACKBOX-FOLD4-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[4].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.5,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.6,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.7,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.8,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.9,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.10,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-SPHERICITY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.11,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-SPICULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.12,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-SUBTLETY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.13,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.14,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.15,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.16,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.17,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.18,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.19,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-SPHERICITY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.20,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-SPICULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.21,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-SUBTLETY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.22,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.23,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD2-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[2].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.24,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD2-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[2].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.25,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD2-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[2].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.26,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD2-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[2].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
RPT-T13.row.27,table_row,SEC-RESULTS-WHERE,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD2-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.folds[2].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,
